author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
William Strunk,NaN,ספר דיגיטלי,Open Road Media,2020,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 5 במאי 2020",NaN
Ron Fry,NaN,ספר דיגיטלי,Open Road Media,2018,שפות,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 ביולי 2018",NaN
Innovative Language Learning,קריינות: VietnamesePod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",5שעות 41דקות
Innovative Language Learning,קריינות: PersianPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",3שעות 47דקות
Innovative Language Learning,קריינות: TurkishClass101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,5,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",6שעות 40דקות
Innovative Language Learning,קריינות: FilipinoPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",5שעות 23דקות
May Sarton,NaN,ספר דיגיטלי,Open Road Media,2015,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 באוגוסט 2015",NaN
Innovative Language Learning,קריינות: DutchPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",6שעות 47דקות
Innovative Language Learning,קריינות: ItalianPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.75,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",3שעות 41דקות
Innovative Language Learning,קריינות: BulgarianPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",6שעות 38דקות
Innovative Language Learning,קריינות: FrenchPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.5,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",4שעות 21דקות
Innovative Language Learning,קריינות: NorwegianClass101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",5שעות 11דקות
Innovative Language Learning,קריינות: HebrewPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",4שעות 8דקות
Innovative Language Learning,קריינות: TurkishClass101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",1שעות 25דקות
Innovative Language Learning,קריינות: TurkishClass101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,2,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",1שעות 34דקות
Innovative Language Learning,קריינות: EnglishClass101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.14,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",2שעות 33דקות
Innovative Language Learning,קריינות: FrenchPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.43,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",4שעות 8דקות
אני רוצה לנסות!,NaN,ספר דיגיטלי,Narr Francke Attempto Verlag,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 29 במרץ 2021",NaN
Innovative Language Learning,קריינות: VietnamesePod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",2שעות 38דקות
Fiona Wagenar,"קריינות: Christian Woelfig, Niccolò Lucciano",ספר מוקלט,Volodymyr Vasyliv,2021,שפות,0,גרמנית,"תאריך פרסום
ספר מוקלט: 7 באוגוסט 2021",6שעות 30דקות
Innovative Language Learning,קריינות: EnglishClass101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.14,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",2שעות 57דקות
Innovative Language Learning,קריינות: DutchPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.5,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",3שעות 13דקות
Innovative Language Learning,קריינות: FinnishPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",5שעות 29דקות
Innovative Language Learning,קריינות: FinnishPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בנובמבר 2020",2שעות 31דקות
Innovative Language Learning,קריינות: ItalianPod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,4.5,אנגלית,"תאריך פרסום
ספר מוקלט: 16 בדצמבר 2020",5שעות 7דקות
Jordy Madueño,קריינות: Jordy Madueño,ספר מוקלט,Lenus,2021,שפות,3.55,ספרדית,"תאריך פרסום
ספר מוקלט: 3 באפריל 2021",1שעות 38דקות
Rick DeMarinis,NaN,ספר דיגיטלי,Open Road Distribution,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 באוקטובר 2016",NaN
Rachel Simon,NaN,ספר דיגיטלי,Open Road Distribution,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 2 בפברואר 2016",NaN
Otto Penzler,NaN,ספר דיגיטלי,MysteriousPress.com/Open Road,2012,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 28 באוגוסט 2012",NaN
Editors of the American Heritage Dictionaries,NaN,ספר דיגיטלי,Reference,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 27 בספטמבר 2016",NaN
P. G. Woodcock,NaN,ספר דיגיטלי,Philosophical Library/Open Road,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 20 באפריל 2021",NaN
Zora O'Neill,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 14 ביוני 2016",NaN
James V. Schall,NaN,ספר דיגיטלי,Intercollegiate Studies Institute,2014,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 29 ביולי 2014",NaN
Gail Brenner,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2011,שפות,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 23 בספטמבר 2011",NaN
Umberto Eco,NaN,ספר דיגיטלי,Mariner Books,2000,שפות,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 9 בנובמבר 2000",NaN
Patricia T. O'Conner,NaN,ספר דיגיטלי,Mariner Books,2000,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 בספטמבר 2000",NaN
Michael Naas,NaN,ספר דיגיטלי,Fordham University Press,2014,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 באוקטובר 2014",NaN
Julian Baggini,NaN,ספר דיגיטלי,Granta Books,2009,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 3 בספטמבר 2009",NaN
Christopher Davies,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 במרץ 2021",NaN
Seth Lerer,NaN,ספר דיגיטלי,Columbia University Press,2015,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 באוגוסט 2015",NaN
Patricia C. Wrede,NaN,ספר דיגיטלי,Diversion Books,2013,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2013",NaN
Noam Chomsky,NaN,ספר דיגיטלי,Columbia University Press,2015,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 בדצמבר 2015",NaN
Andrea Marcolongo,NaN,ספר דיגיטלי,Europa Compass,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 23 במרץ 2021",NaN
Alice W. Flaherty,NaN,ספר דיגיטלי,Mariner Books,2015,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 28 באפריל 2015",NaN
Charles Harrington Elster,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 23 באוקטובר 2018",NaN
Christine Ammer,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2013,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 במאי 2013",NaN
Daniel Menaker,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 ביוני 2018",NaN
Richard Lederer,NaN,ספר דיגיטלי,Gibbs Smith,2006,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 באפריל 2006",NaN
Gail Stein,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2011,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 13 באוקטובר 2011",NaN
Mark Crick,NaN,ספר דיגיטלי,Granta Books,2011,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 3 בנובמבר 2011",NaN
Steven Poole,NaN,ספר דיגיטלי,Grove Press,2007,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Editors of the American Heritage Dictionaries,NaN,ספר דיגיטלי,Reference,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בספטמבר 2018",NaN
Editors of the American Heritage Dictionaries,NaN,ספר דיגיטלי,Reference,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 בספטמבר 2010",NaN
Rust Hills,NaN,ספר דיגיטלי,Mariner Books,2000,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 6 בספטמבר 2000",NaN
Barbara Wallraff,NaN,ספר דיגיטלי,Mariner Books,2012,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 24 בספטמבר 2012",NaN
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,3.56,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,3.67,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 11דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,3.67,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,2.75,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 20דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4.8,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 12דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 21דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4.22,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 15דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 15דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,3,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4.25,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,2.82,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,0,צרפתית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 14דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 15דקות
Thomas Rike,קריינות: Thomas Rike,ספר מוקלט,liberaudio,2021,שפות,4.5,פולנית,"תאריך פרסום
ספר מוקלט: 1 בפברואר 2021",1שעות 13דקות
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 2 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,צרפתית,"תאריך פרסום
ספר דיגיטלי: 2 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 2 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,צרפתית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,צרפתית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 8 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 8 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 8 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 8 באפריל 2021",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Pinhok Languages,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 8 באפריל 2021",NaN
Bartosz Oczko,קריינות: Bartosz Oczko,ספר מוקלט,Onepress,2021,שפות,3.55,פולנית,"תאריך פרסום
ספר מוקלט: 13 באפריל 2021",7שעות 4דקות
John W. Carlson,NaN,ספר דיגיטלי,University of Notre Dame Press,2012,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 16 בינואר 2012",NaN
Joseph A. Dane,NaN,ספר דיגיטלי,University of Notre Dame Press,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 במרץ 2010",NaN
Lucie Olbrechts-Tyteca,NaN,ספר דיגיטלי,University of Notre Dame Press,2017,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 30 ביולי 2017",NaN
José María Vargas Vilas,NaN,ספר דיגיטלי,SAGA Egmont,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 26 באפריל 2021",NaN
Marshall Hall,NaN,ספר דיגיטלי,Imbrifex Books,2021,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 באוגוסט 2021",NaN
Albert Jack,NaN,ספר דיגיטלי,Albert Jack Publishing,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 20 בספטמבר 2018",NaN
Albert Jack,NaN,ספר דיגיטלי,Albert Jack Publishing,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 21 בספטמבר 2018",NaN
Albert Jack,NaN,ספר דיגיטלי,Albert Jack Publishing,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 21 בספטמבר 2018",NaN
Phil Ben,קריינות: Sagui Moses,ספר מוקלט,BEN,2021,שפות,0,עברית,"תאריך פרסום
ספר מוקלט: 7 באפריל 2021",2שעות 5דקות
Authentic Language Books,קריינות: John E Martinez,ספר מוקלט,Authentic Language Books,2021,שפות,4,אנגלית,"תאריך פרסום
ספר מוקלט: 8 באפריל 2021",43שעות 58דקות
Tatiana Maranhão de Castedo,NaN,ספר דיגיטלי,Editora Appris,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 9 באפריל 2021",NaN
Jairo Gomes,NaN,ספר דיגיטלי,Simplíssimo,2020,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 בפברואר 2020",NaN
Silvia Bleichmar,NaN,ספר דיגיטלי,Noveduc,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 1 באפריל 2021",NaN
Barbara Abercrombie,NaN,ספר דיגיטלי,New World Library,2012,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 במאי 2012",NaN
Judy Reeves,NaN,ספר דיגיטלי,New World Library,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 10 באוגוסט 2010",NaN
Sandy Grason,NaN,ספר דיגיטלי,New World Library,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 באוקטובר 2010",NaN
Clive Matson,NaN,ספר דיגיטלי,New World Library,2011,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בפברואר 2011",NaN
Rainer Maria Rilke,NaN,ספר דיגיטלי,New World Library,2010,שפות,4.29,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 באוקטובר 2010",NaN
Barbara Abercrombie,NaN,ספר דיגיטלי,New World Library,2013,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 באפריל 2013",NaN
Sue Sommer,NaN,ספר דיגיטלי,New World Library,2011,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 20 ביולי 2011",NaN
Hal Zina Bennett,NaN,ספר דיגיטלי,New World Library,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 3 בספטמבר 2010",NaN
Hal Zina Bennett,NaN,ספר דיגיטלי,New World Library,2011,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בפברואר 2011",NaN
Hal Zina Bennett,NaN,ספר דיגיטלי,New World Library,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 6 באוקטובר 2010",NaN
Judy Reeves,NaN,ספר דיגיטלי,New World Library,2010,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 6 באוקטובר 2010",NaN
Dan Millman,NaN,ספר דיגיטלי,New World Library,2013,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 באוקטובר 2013",NaN
Denise Jaden,NaN,ספר דיגיטלי,New World Library,2014,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 בינואר 2014",NaN
Tina Welling,NaN,ספר דיגיטלי,New World Library,2014,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 באפריל 2014",NaN
Judy Reeves,NaN,ספר דיגיטלי,New World Library,2015,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 24 במרץ 2015",NaN
Kim Schneiderman,NaN,ספר דיגיטלי,New World Library,2015,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 ביוני 2015",NaN
Denise Jaden,NaN,ספר דיגיטלי,New World Library,2017,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 10 ביולי 2017",NaN
Jeff Herman,NaN,ספר דיגיטלי,New World Library,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 באוקטובר 2018",NaN
Alan Gelb,NaN,ספר דיגיטלי,New World Library,2019,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 במרץ 2019",NaN
Steve O'Keefe,NaN,ספר דיגיטלי,New World Library,2019,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 ביוני 2019",NaN
Elizabeth K. Kracht,NaN,ספר דיגיטלי,New World Library,2020,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 בפברואר 2020",NaN
Javier Franco Altamar,NaN,ספר דיגיטלי,Universidad del Norte,2020,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 4 בספטמבר 2020",NaN
Teresa Benítez,NaN,ספר דיגיטלי,Universidad del Norte,2020,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 10 בדצמבר 2020",NaN
Wolfgang Mieder,NaN,ספר דיגיטלי,Indiana University Press,2019,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 באפריל 2019",NaN
Angie Kiesling,NaN,ספר דיגיטלי,Morgan James Publishing,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 27 באפריל 2018",NaN
Marisa Galvez,NaN,ספר דיגיטלי,The University of Chicago Press,2012,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 ביוני 2012",NaN
Robert Graves,NaN,ספר דיגיטלי,RosettaBooks,2018,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 3 באפריל 2018",NaN
The University of Chicago Press Editorial Staff,NaN,ספר דיגיטלי,The University of Chicago Press,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 באפריל 2016",NaN
Raymonde Carroll,NaN,ספר דיגיטלי,The University of Chicago Press,2012,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 ביולי 2012",NaN
Astrid Wintersberger,NaN,ספר דיגיטלי,Residenz Verlag,2021,שפות,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 16 בפברואר 2021",NaN
Kendra Levin,NaN,ספר דיגיטלי,Conari Press,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בנובמבר 2016",NaN
Bryan A. Garner,NaN,ספר דיגיטלי,The University of Chicago Press,2016,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 16 במאי 2016",NaN
Noam Chomsky,NaN,ספר דיגיטלי,The New Press,2019,שפות,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 ביולי 2019",NaN
Innovative Language Learning,קריינות: JapanesePod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 22 בינואר 2021",3שעות 49דקות
Innovative Language Learning LLC,קריינות: DutchPod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,3,אנגלית,"תאריך פרסום
ספר מוקלט: 9 באפריל 2021",6שעות 28דקות
Innovative Language Learning,קריינות: JapanesePod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 22 בינואר 2021",4שעות 4דקות
Innovative Language Learning LLC,קריינות: ThaiPod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,2.25,אנגלית,"תאריך פרסום
ספר מוקלט: 9 באפריל 2021",7שעות 36דקות
Innovative Language Learning,קריינות: ItalianPod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,1,אנגלית,"תאריך פרסום
ספר מוקלט: 22 בינואר 2021",4שעות 12דקות
Innovative Language Learning LLC,קריינות: JapanesePod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,5,אנגלית,"תאריך פרסום
ספר מוקלט: 9 באפריל 2021",6שעות 22דקות
Innovative Language Learning LLC,קריינות: PersianPod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 18 באפריל 2021",6שעות 30דקות
Arthur Rimbaud,קריינות: Jens Harzer,ספר מוקלט,NOANOA Hörbuchedition und Theaterverlag,2005,שפות,0,גרמנית,"תאריך פרסום
ספר מוקלט: 22 באוגוסט 2005",1שעות 4דקות
Innovative Language Learning LLC,קריינות: IndonesianPod101.com,ספר מוקלט,Innovative Language Learning,2021,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 18 באפריל 2021",6שעות 59דקות
אני רוצה לנסות!,NaN,ספר דיגיטלי,Lengua de Trapo,2021,שפות,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 16 באפריל 2021",NaN
Brittany Pheiffer Noble,קריינות: Macat.com,ספר מוקלט,Macat,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 5 בפברואר 2020",1שעות 53דקות
Innovative Language Learning,קריינות: JapanesePod101.com,ספר מוקלט,Innovative Language Learning,2020,שפות,0,אנגלית,"תאריך פרסום
ספר מוקלט: 23 בדצמבר 2020",1שעות 33דקות
Olly Richards,"קריינות: Salvador Bosch, David McNeill",ספר מוקלט,Olly Richards Publishing,2022,שפות,0,ספרדית,"תאריך פרסום
ספר מוקלט: 26 בינואר 2022",2שעות 45דקות
