book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
יד הפלא (1) הסוד מתגלה,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.65,0,2021-03-29,791,32.0,1.0
יד הפלא (7) על רגל אחת,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.33,0,2021-03-29,791,57.0,1.0
יד הפלא (9) הפרעת כשף,זוהר אביב, ציפי מור,0,0,2021.0,0,4.62,0,2021-03-29,791,18.0,2.0
פיטר פן,ג'יימס מת'יו בארי, רמי ברוך,0,0,2021.0,0,4.12,0,2021-03-29,791,35.0,0.0
הבית בעמק שוקו,שלומית כהן-אסיף, ניקו בר ושלומית כהן אסיף,0,0,2021.0,0,5.0,0,2021-03-29,791,9.0,0.0
הגשם של סבא אהרון,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.26,0,2021-04-27,762,15.0,0.0
מי רוצה שק-קמח?,דויד גרוסמן, תמר עמית-יוסף,0,0,2021.0,0,3.91,0,2021-04-27,762,6.0,0.0
קרמר החתול לומד לשחות,מאיר שלו, איל קיציס,0,0,2021.0,0,4.66,0,2021-05-03,756,5.0,0.0
רוני ונומי והדב יעקב,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.38,0,2021-05-03,756,8.0,0.0
האח החדש של איתמר,דויד גרוסמן, דליה שימקו,0,0,2021.0,0,4.4,0,2021-05-03,756,6.0,0.0
מגדל של נמלים,נעמי בן-גור, ציפי מור,0,0,2021.0,0,3.5,0,2021-10-05,601,9.0,0.0
לא תשיג אותי,יונה טפר, שירלי סומק ויובל רז,0,0,2021.0,0,4.75,0,2021-05-28,731,6.0,0.0
באושר ועושר כאילו... (4) חלומות מתוקים,שרה מלינובסקי, אלינור אהרון בן-אבי,0,0,2021.0,0,5.0,0,2021-06-19,709,59.0,2.0
הנסיך האמיץ,ציון זכאי, חן גבעתי,0,0,2021.0,0,3.5,0,2021-06-20,708,10.0,0.0
כראמל (2) הנקמה,מאירה ברנע גולדברג, תומר שרון,0,0,2021.0,0,4.68,0,2021-06-19,709,39.0,4.0
אלרגיה: סיפור ילדות,יהונתן גפן, שרון ליפקינד,0,0,2021.0,0,4.8,0,2021-10-09,597,25.0,1.0
אייזיק ניוטון הקטן,יורם טהרלב, יורם טהרלב,0,0,2021.0,0,4.14,0,2021-07-25,673,5.0,0.0
בא לי,רוני חפר, רוני חפר,0,0,2021.0,0,4.62,0,2021-09-19,617,7.0,0.0
קופיף מעצבן,שושנה ויג, שושנה ויג,0,0,2021.0,0,4.0,0,2021-08-09,658,5.0,0.0
כראמל (3) נער החידות,מאירה ברנע גולדברג, תומר שרון,0,0,2021.0,0,4.69,0,2021-08-09,658,32.0,6.0
אבא עושה קוקיות,כרמי חוסטצקי משיח, ריקי בליך,0,0,2021.0,0,4.34,0,2021-09-01,635,9.0,0.0
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג, תומר שרון,0,0,2021.0,0,5.0,0,2021-09-26,610,6.0,0.0
הרפתקאות דוד אריה באוקינוס הטיבטי,ינץ לוי, ינץ לוי,0,0,2021.0,0,4.78,0,2021-10-05,601,27.0,1.0
הרפתקאות דוד אריה בג'ונגל הסיבירי,ינץ לוי, ינץ לוי,0,0,2021.0,0,4.8,0,2021-10-05,601,1.0,1.0
הרפתקאות דוד אריה במדבר השוויצרי,ינץ לוי, ינץ לוי,0,0,2021.0,0,4.86,0,2021-10-05,601,8.0,1.0
הרפתקאות דוד אריה ביערות הסהרה,ינץ לוי, ינץ לוי,0,0,2021.0,0,4.51,0,2021-10-05,601,16.0,1.0
הדינוזאור של דודו,רחלי פליישון, רחלי פליישון,0,0,2022.0,0,4.19,0,2022-01-23,491,5.0,0.0
מנהרת הזמן (29): משפט דרייפוס,גלילה רון פדר עמית, אילת פוזניאק,0,0,2022.0,0,5.0,0,2022-02-15,468,30.0,1.0
מנהרת הזמן (73): הפיראט היהודי,גלילה רון פדר עמית, נועה זוהר,0,0,2022.0,0,4.5,0,2022-02-15,468,28.0,1.0
יש נסיכות עם משקפיים,תמר בן אביר, עדי לב,0,0,2022.0,0,4.2,0,2022-05-08,386,8.0,0.0
"Big Nate: Thunka, Thunka, Thunka",Lincoln Peirce,No announcer,2,2,2016.0,0,4.91,1,2016-03-01,2645,0.0,0.0
Big Nate: Great Minds Think Alike,Lincoln Peirce,No announcer,2,2,2014.0,0,4.75,1,2014-04-01,3345,0.0,0.0
Justice Bao: The Case of the Missing Coins,Catherine Khoo, Paul Courtenay Hyu,1,0,2020.0,0,4.64,1,2020-12-30,880,9.0,0.0
Tokoyo: The Tomb of the Sea Serpent,Catherine Khoo, Tina Chiang,1,0,2020.0,0,4.09,1,2020-12-30,880,6.0,0.0
The Crane and The Crab,SR Nathan, Paul Courtenay Hyu,1,0,2021.0,0,4.61,1,2021-01-21,858,5.0,0.0
אמת או חובה,לימור טלמור, ירדן אורלובסקי,1,0,2021.0,0,3.75,0,2021-03-29,791,42.0,7.0
המגדל של גוסטב,מאיה גז, מאיה גז,1,0,2021.0,0,3.33,0,2021-03-29,791,15.0,0.0
ממלכת יוריקה,אופיר גוטמן, גיא נובוטני,1,0,2021.0,0,4.24,0,2021-03-29,791,13.0,2.0
נל ומסיבת יום ההולדת,אוש לון, אורנה כץ,0,0,2021.0,0,0.0,0,2021-03-29,791,3.0,2.0
סוכנות בילוש מספר 2: מבצע ענן רעם ומבצע האיש בשחור,ירן ליאר הורסט, אביה שפיצר,0,0,2021.0,0,4.0,0,2021-03-29,791,33.0,1.0
סופי והפינגווינים,אדוורד ואן דה ונדל, נתלי פיינשטיין,0,0,2021.0,0,5.0,0,2021-03-29,791,58.0,3.0
איפה הדב?,ג׳ונתן בנטלי, ירדן אורלובסקי,0,0,2021.0,0,4.67,0,2021-03-29,791,1.0,0.0
בבה,רונית חכם, רונית חכם,0,0,2021.0,0,5.0,0,2021-03-29,791,3.0,0.0
הדב והפסנתר,דיויד ליצ׳פילד, אביה שפיצר,0,0,2021.0,0,4.36,0,2021-03-29,791,5.0,0.0
כמוך בדיוק,ג׳אן פירנלי, אביה שפיצר,0,0,2021.0,0,4.64,0,2021-03-29,791,6.0,0.0
לזזה יום הולדת,רונית חכם, רונית חכם,0,0,2021.0,0,3.33,0,2021-03-29,791,4.0,0.0
סוד החיות הקסומות - כיבוי אורות,מרגיט אאואר, ירדן אורלובסקי,1,0,2021.0,0,4.9,0,2021-03-29,791,19.0,3.0
פולי שלוטרמוץ,לוסי אסטנר, אביה שפיצר,1,0,2021.0,0,4.78,0,2021-03-29,791,26.0,4.0
פיתה,רונית חכם, רונית חכם,0,0,2021.0,0,4.0,0,2021-03-29,791,2.0,0.0
נל והכתה החדשה,אוש לון, אורנה כץ,0,0,2021.0,0,5.0,0,2021-03-29,791,16.0,2.0
עץ הקסמים (1) - הכסא האדום,אנדז'יי מלשקה, אנדז'יי מלשקה,0,0,2021.0,0,4.86,0,2021-03-29,791,33.0,3.0
עץ הקסמים (3) - הענק,אנדז'יי מלשקה, ניר שאולוף,0,0,2021.0,0,4.29,0,2021-04-05,784,36.0,6.0
עץ הקסמים (2) - סוד הגשר,אנדז'יי מלשקה, ניר שאולוף,0,0,2021.0,0,4.73,0,2021-03-29,791,53.0,4.0
חבורת כוח המוח (11) והמלכודת בטיול השנתי,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.8,0,2021-03-29,791,31.0,1.0
חבורת כוח המוח (16) - מסתורין בפינת החי,זוהר אביב, נועה לפידות,0,0,2021.0,0,4.75,0,2021-03-29,791,10.0,2.0
חבורת כוח המוח (1) ופרשת הגנבות בכיתה,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.79,0,2021-03-29,791,16.0,2.0
חבורת כוח המוח (18) - נלחמים בשד האלימות,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.8,0,2021-03-29,791,17.0,2.0
חבורת כוח המוח (2) והבלגן בחדר המנהלת,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.6,0,2021-03-29,791,15.0,2.0
חבורת כוח המוח (21) - והסודות הגנובים,זוהר אביב, נועה לפידות,0,0,2021.0,0,4.85,0,2021-03-29,791,23.0,2.0
יד הפלא (11) - חבר אמת,זוהר אביב, נועה לפידות,0,0,2021.0,0,4.5,0,2021-03-29,791,46.0,1.0
חבורת כוח המוח (3) והתעלומה באולם הספורט,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.31,0,2021-03-29,791,22.0,2.0
יד הפלא (10) לחם מזהב,זוהר אביב, נועה לפידות,0,0,2021.0,0,4.94,0,2021-03-29,791,2.0,0.0
יד הפלא (3) נגד תאונות,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.76,0,2021-03-29,791,12.0,2.0
יד הפלא (6) סוד הכוח,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.69,0,2021-03-29,791,12.0,2.0
יהלומים באקווריום,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.0,0,2021-03-29,791,1.0,2.0
מסע מצמרר 8 - סנדי קראש,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.25,0,2021-03-29,791,55.0,1.0
מסע מצמרר (3) - במשחק מחשב,זוהר אביב, מאיה לוי,0,0,2021.0,0,4.12,0,2021-03-29,791,21.0,2.0
דובים לא מפחדים משום דבר,אליזבת דייל, אביה שפיצר,0,0,2021.0,0,4.39,0,2021-03-29,791,8.0,0.0
זאתי,מרים רות, ירדן אורלובסקי,0,0,2021.0,0,5.0,0,2021-03-29,791,7.0,0.0
בולו גולו לא רוצה לחפוף,מיכל שלו, נוגה אלגום,0,0,2021.0,0,5.0,0,2021-03-29,791,8.0,0.0
בולו גולו לא רוצה לישון,מיכל שלו, נוגה אלגום,0,0,2021.0,0,4.0,0,2021-03-29,791,9.0,0.0
בוקר טוב גדליהו,שלומית כהן-אסיף, אוסנת וישינסקי,0,0,2021.0,0,3.0,0,2021-03-29,791,5.0,0.0
