book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
Valentine's Rising (2 of 2) [Dramatized Adaptation],E.E. Knight," Richard Rohan, A Full Cast, Ken Jackson, David Coyne, Johann Dettweiler, Lily Beacon, Steven Carpenter, Christopher Scheeren, Yasmin Tuazon, Thomas Keegan, Anastasia Wilson, Thomas Simpson",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.3,English,2020-11-01,953,1.0,5.0
Valentine's Rising (1 of 2) [Dramatized Adaptation],E.E. Knight," Nanette Savard, Richard Rohan, A Full Cast, Michael John Casey, James Konicek, Dylan Lynch, Michael Glenn, Tim Carlin, Ken Jackson, Tim Getman, Yasmin Tuazon, Thomas Keegan",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.1,English,2020-11-01,953,38.0,5.0
Exodus From Hell [Dramatized Adaptation],James Axler," Delores King Williams, Terence Aselford, Richard Rohan, Dylan Lynch, David Coyne, Kimberly Gilbert, Laura C. Harris, Carolyn Kashner, Tia Shearer, Chris Rohan, Scott Bruffey, A Full Cast",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,3.33,English,2020-11-01,953,24.0,6.0
Tale of the Thunderbolt (1 of 2) [Dramatized Adaptation],E.E. Knight," Nanette Savard, Thomas Penny, Colleen Delany, Richard Rohan, A Full Cast, James Lewis, Tim Carlin, Ken Jackson, Tim Getman, Andy Clemence, Elliot Dash, Lily Beacon",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.43,English,2020-11-01,953,16.0,5.0
Winter Duty [Dramatized Adaptation],E.E. Knight," Dan Stevens, A Full Cast, James Lewis, Mort Shelby, Dylan Lynch, Ken Jackson, Tim Getman, Tony Nam, Kate Foster, Lily Beacon, Casie Platt, James Keegan",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.43,English,2020-11-01,953,10.0,8.0
Tale of the Thunderbolt (2 of 2) [Dramatized Adaptation],E.E. Knight," Thomas Penny, Colleen Delany, Richard Rohan, A Full Cast, James Lewis, Tim Carlin, Ken Jackson, Tim Getman, Eric Messner, Steven Carpenter, Barbara Pinolini, Nathan Bennet",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.3,English,2020-11-01,953,36.0,5.0
Fall with Honor [Dramatized Adaptation],E.E. Knight," Dan Stevens, Thomas Penny, Christopher Graybill, Richard Rohan, A Full Cast, Mort Shelby, Michael Glenn, Ken Jackson, Tim Getman, Christopher Scheeren, James Keegan, Julie-Ann Elliott",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.14,English,2020-11-01,953,11.0,8.0
Raising Innocence [Dramatized Adaptation],Shannon Mayer," Nanette Savard, Richard Rohan, A Full Cast, Shanta Parasuraman, Marni Penning, Michael Glenn, Eric Messner, Yasmin Tuazon, Nora Achrati, Amanda Forstrom, Bradley Smith, Chris Genebach",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.13,English,2020-11-01,953,29.0,5.0
Valentine's Resolve [Dramatized Adaptation],E.E. Knight," Nanette Savard, Richard Rohan, A Full Cast, Mort Shelby, Dylan Lynch, Ken Jackson, David Coyne, Tim Getman, Andy Clemence, Kimberly Gilbert, Ren Casey, Britt Herring",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.25,English,2020-11-01,953,43.0,8.0
Valentine's Exile [Dramatized Adaptation],E.E. Knight," Christopher Graybill, Richard Rohan, A Full Cast, Ken Jackson, Tim Getman, Scott McCormick, Lily Beacon, Elisabeth Demery, Drew Kopas, Joseph Thornhill, Daniel Gavigan, Katrina Van Duyn",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.33,English,2020-11-01,953,32.0,8.0
